team_name,association,uefa_coefficient,city
Celje,SVN,4.5,Celje
Aris Limassol,CYP,4.5,Limassol
BK Häcken,SWE,6.0,Gothenburg
IF Elfsborg,SWE,4.3,Borås
Farul Constanța,ROM,4.275,Constanța
Kecskemét,HUN,4.375,Kecskemét
Debrecen,HUN,4.375,Debrecen
Víkingur Reykjavík,ISL,4.0,Reykjavík
Panevezys,LTU,4.0,Panevėžys
Ordabasy,KAZ,4.0,Shymkent
CSKA 1948,BUL,4.025,Sofia
Sabah,AZE,3.825,Baku
Urartu,ARM,3.5,Yerevan
Struga,MKD,3.5,Struga
Gjilani,KOS,3.0,Gjilan
Glentoran,NIR,3.0,Belfast
Swift Hesper,LUX,3.0,Hesperange
Atlètic Club d'Escaldes,AND,2.5,Andorra la Vella
Željezničar,BIH,2.5,Sarajevo
Birkirkara,MLT,2.5,Birkirkara
Magpies,GIB,2.0,Gibraltar
Egnatia,ALB,1.475,Rrogozhinë
Penybont,WAL,1.158,Bridgend
FK Arsenal Tivat,MNE,1.141,Tivat
SS Cosmos,SMR,1.0,Serravalle
